"","0","1","2","3","4","5","6","7","8","9","10"
"2011-W05",0,0,0,0,0,0,0,0,0,0,0
"2011-W06",0,0,0,0,0,0,0,0,0,0,0
"2011-W07",0,0,0,0,0,0,0,0,0,0,0
"2011-W08",0,0,1,0,0,0,0,0,0,0,0
"2011-W09",0,0,1,0,0,0,0,0,0,0,0
"2011-W10",1,0,1,1,0,0,0,0,0,0,0
"2011-W11",0,0,0,0,0,0,0,0,0,0,0
"2011-W12",0,0,0,2,0,0,0,0,0,0,0
"2011-W13",0,0,1,2,0,1,0,0,0,0,0
"2011-W14",0,0,1,0,0,0,0,0,0,0,0
"2011-W15",0,0,0,1,0,0,0,0,0,0,0
"2011-W16",0,0,1,0,0,0,0,0,0,0,0
"2011-W17",0,0,1,1,0,0,0,0,0,0,0
"2011-W18",0,0,1,0,0,0,0,0,0,0,0
"2011-W19",0,1,0,0,0,1,0,0,0,0,0
"2011-W20",0,1,0,0,0,0,0,0,0,0,0
"2011-W21",0,0,0,1,0,0,0,0,0,0,0
"2011-W22",0,0,0,0,0,0,0,0,0,0,0
"2011-W23",0,0,1,0,0,0,0,0,0,0,0
"2011-W24",0,1,0,0,0,0,0,0,0,0,0
"2011-W25",0,0,1,0,0,0,0,0,0,0,0
"2011-W26",0,0,0,0,1,0,0,0,0,0,0
"2011-W27",0,1,0,1,0,0,0,1,0,0,0
"2011-W28",0,1,0,0,1,0,0,0,0,0,0
"2011-W29",0,0,2,1,0,0,0,0,0,0,0
"2011-W30",0,0,0,0,0,0,0,0,0,0,0
"2011-W31",0,0,0,1,0,0,0,1,0,0,0
"2011-W32",0,1,2,0,0,0,0,0,0,0,0
"2011-W33",0,1,1,1,0,0,0,0,0,0,0
"2011-W34",0,1,1,1,0,0,0,0,0,0,0
"2011-W35",0,0,1,0,0,0,0,0,0,0,0
"2011-W36",0,0,1,0,0,0,0,0,0,0,0
"2011-W37",0,1,0,0,0,0,0,0,0,0,0
"2011-W38",0,0,0,0,1,0,0,0,0,0,0
"2011-W39",0,0,0,1,0,0,0,0,1,0,0
"2011-W40",0,2,0,0,0,0,0,0,0,0,0
"2011-W41",0,2,0,0,0,0,0,0,0,0,0
"2011-W42",0,4,7,2,1,1,0,0,0,0,0
"2011-W43",1,19,27,12,3,0,1,0,0,0,0
"2011-W44",0,9,9,1,1,0,1,0,0,0,0
"2011-W45",0,1,1,2,0,0,0,0,0,0,0
"2011-W46",0,1,1,0,0,0,0,0,0,0,0
"2011-W47",0,1,2,1,2,0,0,0,0,0,0
"2011-W48",0,1,4,0,0,0,0,0,0,0,0
"2011-W49",0,4,0,1,0,0,1,0,0,0,0
"2011-W50",0,0,2,4,0,0,0,0,0,0,0
"2011-W51",0,0,1,1,0,0,0,0,0,0,0
"2011-W52",1,0,4,0,1,0,0,0,1,0,0
"2012-W01",0,2,0,0,0,0,0,0,0,0,0
"2012-W02",0,1,1,0,0,0,0,1,0,0,0
"2012-W03",0,2,1,0,0,0,0,0,0,0,0
"2012-W04",0,0,0,0,0,0,0,0,0,0,0
"2012-W05",0,5,2,1,0,0,0,0,0,0,0
"2012-W06",0,0,1,0,0,0,0,0,0,0,0
"2012-W07",0,1,1,1,0,0,0,0,0,0,0
"2012-W08",0,0,0,0,0,0,0,0,0,0,0
"2012-W09",0,0,0,0,0,0,0,0,0,0,0
"2012-W10",0,0,1,0,0,0,0,0,0,0,0
"2012-W11",0,0,1,0,0,0,0,0,0,0,0
"2012-W12",0,0,0,0,0,0,0,0,0,0,0
"2012-W13",0,0,1,0,0,1,0,0,0,0,0
"2012-W14",0,0,0,0,0,0,0,0,0,0,0
"2012-W15",0,0,0,0,0,0,0,0,0,0,0
"2012-W16",0,1,0,0,0,0,0,0,0,0,0
"2012-W17",0,0,1,0,0,0,0,0,0,0,0
"2012-W18",0,0,1,0,0,0,0,0,0,0,0
"2012-W19",0,0,0,0,0,0,0,0,0,0,0
"2012-W20",0,0,0,0,0,0,0,0,0,0,0
"2012-W21",0,0,1,2,2,0,0,0,0,0,0
"2012-W22",0,0,2,0,0,0,0,0,0,0,0
"2012-W23",0,0,1,0,0,0,0,0,0,0,0
"2012-W24",0,2,3,0,0,0,1,0,0,0,0
"2012-W25",0,1,1,0,0,0,0,0,0,0,0
"2012-W26",1,0,0,0,0,0,0,0,0,0,0
"2012-W27",0,0,0,0,0,0,0,0,0,0,0
"2012-W28",0,0,3,0,0,0,0,0,0,0,0
"2012-W29",0,2,0,0,0,0,0,0,0,0,0
"2012-W30",0,0,1,0,1,0,0,0,0,0,0
"2012-W31",2,2,0,0,0,0,0,0,0,0,0
"2012-W32",0,0,1,0,0,1,0,0,0,0,0
"2012-W33",1,0,2,1,0,1,0,0,0,0,0
"2012-W34",0,0,1,1,1,0,0,0,0,0,1
"2012-W35",0,1,1,2,1,0,0,0,0,0,0
"2012-W36",0,2,2,0,0,0,0,0,0,0,0
"2012-W37",0,1,1,0,2,0,1,0,0,0,0
"2012-W38",0,0,1,0,0,0,0,0,0,0,0
"2012-W39",0,0,1,0,0,0,0,0,0,0,0
"2012-W40",0,1,1,0,0,0,1,0,0,0,0
"2012-W41",0,3,0,0,0,0,0,0,0,0,0
"2012-W42",0,1,0,0,1,0,0,0,0,0,0
"2012-W43",0,1,1,1,0,0,0,0,0,0,0
"2012-W44",0,0,1,0,0,0,0,0,0,0,0
"2012-W45",0,3,0,0,0,0,0,0,0,0,0
"2012-W46",0,0,0,2,0,0,0,0,0,0,0
"2012-W47",0,1,1,0,0,0,0,0,0,0,0
"2012-W48",1,0,0,0,0,0,0,0,0,0,0
"2012-W49",0,0,0,0,0,0,0,0,0,0,0
"2012-W50",0,0,0,0,0,1,0,0,0,0,0
"2012-W51",0,0,0,0,0,0,0,0,0,0,0
